Key (Name),Value (Internal Name)
Castle_Bag_(Top_Room),obj_item_bag
Castle_Bag_(Bonus),obj_item_bag
Lair_Bag_(First_Room),obj_item_bag
Lair_Bag_(Lava_Room),obj_item_bag
Lair_Bag_(Final_Room_1),obj_item_bag
Lair_Bag_(Final_Room_2),obj_item_bag
Lair_Bag_(Final_Room_3),obj_item_bag
,
[KEYS],
Faramore_Key_(Well),key_faramore_2
Faramore_Key_(Tavern),key_faramore_1
Forest_Key,key_durridin
Desert_Key,key_anju
Canyon_Key,key_creece
Swamp_Key_(Frich_House),key_norin
Swamp_Key_(Griffin_Boots),key_norin_2
Peak_Key,key_chillinax
Crypts_Key,key_boanjale
Beach_Key_(First_House),key_badonc
Beach_Key_(Tork_Cabin),key_badonc_2
River_Key_(Francine),key_ryha
River_Key_(Submarine),key_ryha_2
Hills_Key,key_lichen
Fort_Key_(First_Room),key_findula_1
Fort_Key_(Top_Room),key_findula_2
Castle_Key_(Nodelki),key_denny_2
Castle_Key_(Left_Room),key_denny_1
,
,
[CANDLES],
Faramore_Candle_(Empty_House),obj_sacred_candle_24
Faramore_Candle_(Cypress_House),obj_sacred_candle_25
Forest_Candle_(Tree),obj_sacred_candle_1
Forest_Candle_(Cypress),obj_sacred_candle_2
Caves_Candle_(First_Dark_Room),obj_sacred_candle_5
Caves_Candle_(Second_Dark_Room),obj_sacred_candle_26
Desert_Candle_(Pit),obj_sacred_candle_3
Desert_Candle_(Last_Room),obj_sacred_candle_4
Canyon_Candle_(First_Room_End),obj_sacred_candle_6
Canyon_Candle_(Motte_House),obj_sacred_candle_7
Swamp_Candle_(First_Room),obj_sacred_candle_8
Swamp_Candle_(Frich_House),obj_sacred_candle_27
Peak_Candle_(First_Cave),obj_sacred_candle_9
Peak_Candle_(Ciclena_Cave),obj_sacred_candle_10
Crypts_Candle_(After_Crypt),obj_sacred_candle_28
Crypts_Candle_(Skelvis),obj_sacred_candle_11
Volcano_Candle_(First_Room),obj_sacred_candle_12
Volcano_Candle_(Last_Room),obj_sacred_candle_29
Beach_Candle_(Tork_Cabin),obj_sacred_candle_14
Beach_Candle_(Cave),obj_sacred_candle_13
River_Candle_(Boat),obj_sacred_candle_15
River_Candle_(Last_Room),obj_sacred_candle_16
Hills_Candle_(Cave),obj_sacred_candle_30
Hills_Candle_(Music_Shrine),obj_sacred_candle_17
Fort_Candle_(Dark_Room),obj_sacred_candle_18
Fort_Candle_(Last_Room),obj_sacred_candle_19
Castle_Candle_(Right_Room),obj_sacred_candle_20
Castle_Candle_(Top_Room),obj_sacred_candle_21
Lair_Candle_(Tree_Trunk),obj_sacred_candle_22
Lair_Candle_(Tree_Top),obj_sacred_candle_23
,
[COINS],
Faramore_Coin,obj_hidden_coin_faramore
Forest_Coin,obj_hidden_coin_durridin
Caves_Coin,obj_hidden_coin_cogwyn
Desert_Coin,obj_hidden_coin_anju
Canyon_Coin,obj_hidden_coin_creece
Swamp_Coin,obj_hidden_coin_norin
Peak_Coin,obj_hidden_coin_chillinax
Crypts_Coin,obj_hidden_coin_boanjale
Volcano_Coin,obj_hidden_coin_sprigum
Beach_Coin,obj_hidden_coin_badonc
River_Coin,obj_hidden_coin_ryha
Hills_Coin,obj_hidden_coin_lichen
Fort_Coin,obj_hidden_coin_findula
Castle_Coin,obj_hidden_coin_denny
Lair_Coin,obj_hidden_coin_daimur
,
[QUEST UPGRADES],
Swamp_Plant,obj_quest_plant_a
Beach_Plant,obj_quest_plant_b
Hills_Plant,obj_quest_plant_c
Power_Stone_Upgrade,obj_quest_upgrade_power_stones
Wallet_Upgrade,obj_quest_upgrade_wallet
Bomb_Upgrade,obj_quest_upgrade_bombs
Lamp_Oil_Upgrade,obj_quest_upgrade_lamp_oil
Rope_Upgrade,obj_quest_upgrade_ropes
Soul_Upgrade,obj_quest_upgrade_soul_bag
Infinite_Soulfire,obj_quest_infinite_soulfire
,
[LIFEUP],
Desert_Life-Up,obj_lifeup_1
Crypts_Life-Up,obj_lifeup_2
River_Life-Up,obj_lifeup_3
,
[RACE REWARD],
Forest_Race_100_Rupees,obj_quest_race_reward_1
Peak_Race_100_Rupees,obj_quest_race_reward_2
Hills_Race_100_Rupees,obj_quest_race_reward_3
,
[TRADE ITEM],
Dungeon_Key,key_findula_dungeon
Funky_Fungus,obj_quest_funky_fungus
Snail_Salt,obj_quest_snail_salt
Cleaver_Shovel,obj_quest_cleaver_shovel
Ogre_Hair,obj_quest_ogre_hair
Oil_and_Chains,obj_quest_refined_chains
Chainsword,obj_quest_chainsword
Sacred_Oil,obj_quest_oil
,
[POWER UPS/QUEST REWARDS],
Forest_Jewel,obj_jof_1
Canyon_Jewel,obj_jof_2
Peak_Jewel,obj_jof_3
Fort_Jewel,obj_jof_4
Castle_Jewel,obj_jof_5
Bombs,obj_quest_bombs
Sword_Wave,obj_quest_sword_wave
Golden_Fly,obj_quest_golden_fly //Had to disable flying around
Magic_Armor,obj_quest_armor
Silver_Cricket,obj_quest_silver_cricket
Rope_Ladder,obj_quest_rope_ladder
Shield_Ring,obj_quest_shield_ring
Compass,obj_quest_compass
Griffin_Boots,obj_quest_magic_boots
Bell,obj_quest_town_bell
Crystal_of_Refraction,obj_quest_crystal_of_refraction
Fatal_Flute,obj_quest_flute
Blue_Magic,obj_quest_blue_beam
Lightning_Sword,obj_quest_electric_sword
Enchanted_Shoes,obj_quest_shoes
Reflector_Ring,obj_quest_reflecting_shield
Winged_Belt,obj_quest_winged_belt
Purple_Magic,obj_quest_sword
Citizenship_Papers,obj_quest_citizenship
Canteen,obj_quest_canteen
Calendar,obj_quest_beach_calendar
200_Rupees,obj_quest_dewey_reward
Lantern,obj_quest_lantern
Rope,obj_quest_esc_rope
Fairy_Dust,obj_quest_fairy_dust
Backstep,obj_quest_backstep
Smart_Gun,obj_quest_gun
Star_Earrings,obj_quest_star_earrings
Power_Pendant,obj_quest_pendant
Bomb_Gauntlet,obj_quest_pg
Speedy_Shoes,obj_quest_speedy_shoes
Magic_Cloak,obj_quest_magic_cloak
Double_Wave,obj_quest_double_wave
,
[BONUS SCROLLS] //Bonus scrolls are coded by world location and aren't individual,
Faramore_Bonus,obj_bonus_scroll
Forest_Bonus,obj_bonus_scroll
Caves_Bonus,obj_bonus_scroll
Desert_Bonus,obj_bonus_scroll
Canyon_Bonus,obj_bonus_scroll
Swamp_Bonus,obj_bonus_scroll
Peak_Bonus,obj_bonus_scroll
Crypts_Bonus,obj_bonus_scroll
Volcano_Bonus,obj_bonus_scroll
Beach_Bonus,obj_bonus_scroll
River_Bonus,obj_bonus_scroll
Hills_Bonus,obj_bonus_scroll
Fort_Bonus,obj_bonus_scroll
Castle_Bonus,obj_bonus_scroll
Lair_Bonus,obj_bonus_scroll
,
"[BONUS REWARD] //Faramore, Volcano, and Castle don't drop rewards so should be removed from pool",
Forest_Bonus_Reward,Forest Bonus Reward 25
Caves_Bonus_Reward,Caves Bonus Reward 25
Desert_Bonus_Reward,Desert Bonus Reward 30
Canyon_Bonus_Reward,Canyon Bonus Reward 30
Swamp_Bonus_Reward,Swamp Bonus Reward 30
Peak_Bonus_Reward,Peak Bonus Reward 40
Crypts_Bonus_Reward,Crypts Bonus Reward 50
Beach_Bonus_Reward,Beach Bonus Reward 50
River_Bonus_Reward,River Bonus Reward 50
Hills_Bonus_Reward,Hills Bonus Reward 75
Fort_Bonus_Reward,Fort Bonus Reward 75
Lair_Bonus_Reward,Lair Bonus Reward 100
,
[ITEMS (Currently not in the randomisation pool)] //Rocks are coded based on world location,
Default_Beacon,beacon_durridin
Daimur,obj_boss_daimur
Orange_Rock,obj_debris
Brown_Rock,obj_debris
Gray_Rock,obj_debris
Blue_Rock,obj_debris
Forest_Beacon,beacon_durridin
Desert_Beacon,beacon_anju_desert
Swamp_Beacon,beacon_norin_swamp
Beach_Beacon,beacon_badonc_beach
Hills_Beacon,beacon_lichen_hills
Faramore_Bonus_Reward,obj_null
Volcano_Bonus_Reward,obj_null
Castle_Bonus_Reward,obj_null
,
[NPC],
Faramore_Boru,npc_boru
Faramore_Univor,npc_univor
Faramore_Salvik,npc_salvik
Faramore_Maki,npc_maki
Faramore_Payop,npc_payop
Faramore_Yukeen,npc_yukeen
Faramore_Covenplate,npc_mayor
Faramore_Kari,npc_kari
Faramore_Kari_Quest,npc_kari_quest
Faramore_Alven,npc_alven
Faramore_Brinda,npc_brinda
Faramore_Frich,npc_frich_quest
Faramore_Rudy,npc_rudy
Faramore_Barnabuss,npc_barnabuss_quest
Faramore_Denny,npc_denny
Faramore_Dewey,npc_dewey
Faramore_Cypress,npc_cypress_quest
Faramore_Munhum,npc_munhum_quest
Forest_Cypress,npc_cypress
Caves_Munhum,npc_munhum
Caves_Ellido,npc_ellido
Desert_Fairy,npc_fairy
Canyon_Crowdee,npc_crowdee
Canyon_Motte,npc_motte
Canyon_Odie,npc_odie
Swamp_Glubbert,npc_glubbert
Peak_Ciclena,npc_ciclena
Crypts_Skelvis,npc_skelvis
Beach_Fleetus,npc_fleetus
Beach_Tork,npc_tork
River_Barnabuss,npc_barnabuss
River_Francine,npc_francine
River_Morgh,npc_morgh
Hills_Milbert,npc_milbert
Lair_Zazie,npc_zazie
Volcano_Joe,npc_joe
,
[NPC (currently not in the randomisation pool)],
Faramore_Mortar,npc_mortar
Swamp_Frich,npc_frich
Forest_Rudy_(Start),npc_rudy_start
Forest_Rudy_(End),npc_rudy_goal
Peak_Rudy_(Start),npc_rudy_start
Peak_Rudy_(End),npc_rudy_goal
Hills_Rudy_(Start),npc_rudy_start
Hills_Rudy_(End),npc_rudy_goal
